,district,size,level,max_levels,price
6056,Сергелийский,135.0,1,3,141000.0
6057,Чиланзарский,72.0,4,12,120000.0
6058,Учтепинский,72.0,9,9,80000.0
6059,Мирзо-Улугбекский,79.0,5,5,90000.0
6060,Мирабадский,100.0,3,4,250000.0
6061,Мирабадский,115.0,9,9,150000.0
6062,Олмазорский,200.0,3,4,130000.0
6063,Юнусабадский,76.87,2,4,160000.0
6064,Мирзо-Улугбекский,108.0,4,7,210000.0
6065,Яшнободский,90.0,5,9,180000.0
6066,Мирзо-Улугбекский,140.0,1,4,220000.0
6067,Мирзо-Улугбекский,56.0,7,9,78000.0
6068,Чиланзарский,42.0,4,4,63000.0
6069,Чиланзарский,57.0,2,4,93800.0
6070,Яшнободский,54.0,4,4,63000.0
6071,Чиланзарский,75.0,5,9,102000.0
6072,Мирабадский,65.0,9,9,90000.0
6073,Шайхантахурский,98.0,1,5,184000.0
6074,Мирзо-Улугбекский,58.0,3,5,68000.0
6075,Яккасарайский,70.0,4,4,141000.0
6076,Мирзо-Улугбекский,56.0,5,5,100000.0
6077,Мирабадский,100.0,1,9,284000.0
6078,Мирабадский,170.0,3,9,340000.0
6079,Мирзо-Улугбекский,75.0,3,14,134000.0
6080,Чиланзарский,30.0,1,3,50000.0
6081,Юнусабадский,62.0,3,4,115000.0
6082,Шайхантахурский,97.0,4,5,116000.0
6083,Мирзо-Улугбекский,60.0,2,4,98000.0
6084,Юнусабадский,82.0,1,4,170000.0
6085,Яшнободский,47.0,4,5,52000.0
6086,Учтепинский,80.0,1,5,104000.0
6087,Учтепинский,58.0,5,5,70000.0
6088,Яшнободский,70.0,2,4,96000.0
6089,Яшнободский,62.0,6,7,120000.0
6090,Мирзо-Улугбекский,46.0,5,10,46000.0
6091,Мирзо-Улугбекский,38.0,5,5,38000.0
6092,Мирзо-Улугбекский,45.0,5,10,45000.0
6093,Мирзо-Улугбекский,69.0,5,10,69000.0
6094,Мирзо-Улугбекский,43.0,3,10,43000.0
6095,Яшнободский,87.0,3,6,69600.0
6096,Яшнободский,80.0,1,4,170000.0
6097,Мирзо-Улугбекский,45.0,1,4,78000.0
6098,Яшнободский,50.0,5,5,47000.0
6099,Мирзо-Улугбекский,62.0,2,5,67000.0
6100,Юнусабадский,82.0,1,4,170000.0
6101,Мирзо-Улугбекский,92.0,3,5,126000.0
6102,Мирзо-Улугбекский,50.0,4,5,62000.0
6103,Яккасарайский,103.0,1,9,210000.0
6104,Учтепинский,70.0,5,5,80000.0
6105,Учтепинский,70.0,4,5,92000.0
6106,Мирабадский,75.0,7,9,180000.0
6107,Яккасарайский,42.0,2,2,86000.0
6108,Учтепинский,70.0,5,5,88000.0
6109,Чиланзарский,60.0,1,4,105000.0
6110,Яшнободский,70.06,4,4,100000.0
6111,Учтепинский,44.0,1,4,59000.0
6112,Учтепинский,63.0,1,4,138000.0
6113,Чиланзарский,72.0,5,9,106000.0
6114,Учтепинский,72.0,5,5,90000.0
6115,Чиланзарский,62.0,3,4,76000.0
6116,Учтепинский,48.0,5,5,54000.0
6117,Чиланзарский,42.0,4,4,62000.0
6118,Учтепинский,70.0,1,4,108000.0
6119,Чиланзарский,48.0,2,3,68000.0
6120,Учтепинский,33.0,2,4,56000.0
6121,Учтепинский,50.0,4,4,60000.0
6122,Чиланзарский,30.0,2,4,56400.0
6123,Учтепинский,73.0,1,5,130000.0
6124,Мирабадский,90.0,3,4,236000.0
6125,Мирзо-Улугбекский,131.0,1,8,300000.0
6126,Чиланзарский,70.0,4,4,102000.0
6127,Мирабадский,100.0,5,5,109000.0
6128,Учтепинский,76.0,4,4,95000.0
6129,Учтепинский,45.0,4,5,60000.0
6130,Чиланзарский,38.0,1,4,57800.0
6131,Чиланзарский,27.0,3,4,64000.0
6132,Чиланзарский,117.0,1,4,190000.0
6133,Чиланзарский,78.0,2,4,130000.0
6134,Чиланзарский,50.0,3,5,73000.0
6135,Чиланзарский,60.0,4,9,69000.0
6136,Чиланзарский,40.0,1,4,55000.0
6137,Чиланзарский,54.0,3,5,64000.0
6138,Чиланзарский,65.0,4,4,77000.0
6139,Чиланзарский,48.0,2,4,76000.0
6140,Учтепинский,58.0,9,12,52000.0
6141,Учтепинский,75.0,3,9,103000.0
